Question,Reply
ما هي مجموعة الأعداد المرتبة من الأصغر إلى الأكبر؟,0.25 1.0 1.6
ما هو معكوس العدد -7.,7.0
تحصل مي على 5.50 دولارات في الساعة من عملها بعد المدرسة. كم عدد الساعات التي يجب أن تعملها لكي تحصل على 132 دولارًا؟,24.0
أنا عدد. رقم 7 موجود في خانة الآحاد. وأنا أقل من 80 وأكبر من 70. ما هو  العدد؟,77.0
أوجد قيمة −7(ص − 6) إذا كانت ص = 8.,−14
تبلغ المسافة من شيكاغو إلى مدينة نيويورك 794 ميلاً. ما هو العدد 794 مقربًا إلى أقرب مائة؟,800.0
ستذهب كاتي في إجازة لمدة 3 أسابيع. تجد عدد أيام العمل التي ستفوتها عن طريق ضرب 5 × 3. ما هو التعبير الرياضي الذي يوضح طريقة أخرى يمكن بها لكاتي معرفة عدد أيام العمل التي ستفوتها؟,5+5+5
ما هو التعبير الرياضي الذي يعادل 720؟,9×80
أوجد حاصل 13 على 14 + 7 على 14.,1 و3 على 7
استخدم خاصية التجميع في الضرب لتبسيط 8 • (−7) • (−1).,−63
صنع خباز 232 كعكة مافن. أرسل 190 كعكة إلى أحد الفنادق المحلية. سيضع باقي الكعك في صناديق، كل صندوق يسع 6 كعكات. ما هي المعادلة التي يمكن استخدامها لمعرفة عدد الصناديق، “ص”، التي سيحتاجها الخباز؟,(232 - 190)/6=ص
"إذا قُسمت 30,000 على 10 ثم قُسمت على 10 مرة أخرى، فما هو العدد الناتج؟",300.0
أوجد الإجابة الدقيقة: 145 + 281 + 62,488.0
تقطع السيارة 24 ميلاً لكل جالون من البنزين (ميل/جالون). كم عدد جالونات البنزين التي ستحتاجها السيارة لقطع مسافة 144 ميلاً؟,6 جالونات
ما هو زوج التعبيرات الذي يعادل أي قيمة متغيرة أكبر من الصفر؟,ب+ب+3ج و2ب+3ج
"في بلدة ويست فالي يوجد 2,817 منزلاً. يستخدم كل منزل يوميًا 380 جالونًا من المياه في المتوسط. استخدم التعبير الرياضي الآتي لمعرفة إجمالي عدد جالونات المياه التي تستخدمها المنازل في ويست فالي يوميًا في المتوسط. 2,817 × 380 ما هو إجمالي عدد جالونات المياه التي تستخدمها المنازل في ويست فالي يوميًا في المتوسط؟","1,070,460 جالونًا"
"توجد ثلاث مناطق مختلفة للجلوس في ملعب البيسبول. عدد الأشخاص الذين يمكنهم الجلوس في كل منطقة موضح أدناه.
* تسع المنطقة الحمراء لعدد 200 شخص
* وتسع المنطقة الزرقاء لعدد يقل 20 شخصًا عن المنطقة الحمراء
* وتسع المنطقة الخضراء ضعف عدد الأشخاص في المنطقة الزرقاء
ما هو إجمالي عدد الأشخاص الذين يمكنهم الجلوس في ملعب البيسبول؟",740.0
سجل لاعب كرة سلة 18 نقطة في أول مباراة له. وهذا العدد أقل بأربع نقاط مما سجله في مباراته الثانية. اكتب معادلة وحلها لإيجاد عدد النقاط، “ن”، التي سجلها في مباراته الثانية.,18 = ن − 4؛ 22
حل المعادلة -6س = -36. تحقق من إجابتك.,6.0
أوجد المتوسط في مجموعة البيانات 18، 9، 9، 10، 11، 14، 30، 19.,15.0
تضم ولاية جورجيا 159 مقاطعة وتغطي مساحة 58056 ميلاً مربعًا. ما هو متوسط عدد الأميال المربعة لكل مقاطعة؟ قرب إجابتك إلى أقرب عدد صحيح.,365 ميلاً مربعًا لكل مقاطعة
تصل درجة الحرارة على المريخ إلى 27 درجة مئوية في أثناء النهار و-125 درجة مئوية في أثناء الليل. فما هو متوسط ​​درجة الحرارة؟,−49 درجة مئوية
استخدم المعادلة التالية للإجابة عن السؤال. 14 × 3 = 42 ما هي العبارة التي تفسر التعبير الرياضي تفسيرًا صحيحًا؟,42 يساوي 3 أضعاف 14.
بسّط −4 + ​​7 • 3^2. استخدم الآلة الحاسبة أو الورقة والقلم الرصاص أو الحساب العقلي.,59.0
قطع أعضاء نادي التنزه مسافة سير لمدة 2.4 ساعة بمعدل 2.5 ميلاً في الساعة. كم تبلغ المسافة التي قطعها الأعضاء,6.0 ميلاً
إذا كانت قيمة “س” تقع بين 0.0051 و0.038، أي من القيم الآتية يمكن أن تكون “س”؟,0.0261
يحمل طبيب بيطري قطًا ويقف على الميزان. بلغت قراءة الميزان 157.8 رطلاً. يزن الطبيب البيطري وحده 148.3 رطلاً. ما هو التقدير الأفضل لوزن القطة؟,بين 8 و11 رطلاً
يضم فصل السيدة كارتر 30 طالبًا، قسمتهم إلى 5 مجموعات متساوية. ما هو التعبير الرياضي الذي يمثل طريقة معرفة عدد الطلاب في كل مجموعة؟,30/5
العدد الأول في نمط الأعداد هو 28. وتنص قاعدة النمط على إضافة 14 للوصول إلى العدد التالي في النمط. في حالة استمرار النمط ما هي العبارة الصحيحة مما يلي؟,يمكن قسمة جميع الأعداد في النمط بالتساوي على 7.
حل المعادلة س − 10.5 = −11.6.,−1.1
ما هي النسبة التي لا تشكِّل تناسبًا مع 8 على 18؟,46 على 108
في نتيجة الفصل الدراسي، حصل أحد الطلاب على 76 درجة و80 درجة و83 درجة و71 درجة و80 درجة و78 درجة في ست اختبارات. ما هو معدل درجات الطالب في هذه الاختبارات الست؟,78.0
أوجد القاسم المشترك الأعلى للعددين 25 و55.,5.0
أوجد قيمة 60% من 30.,18.0
وُضعت النقاط (أ) و(ب) على خط الأعداد. كانت النقطة (أ) عند - 20، أما النقطة (ب) فكان مكانها أقل بـ 5 من النقطة (أ). ما هي العبارة التي تعدُّ صحيحة حول النقطة (ب)؟ ,إن موقعها عند -25 وتقع على يسار النقطة (أ) على خط الأعداد
حل المعادلة: 1.2 =0.4 ص باستخدام الحساب العقلي.,3.0
لدى تي مهلة لمدة 12 أسبوعًا لقراءة عدد محدد من الكتب. سوف يقضي أسبوعين في قراءة كل كتاب. ما هو التعبير الرياضي الذي يمكن أن يستخدمه تي لمعرفة إجمالي عدد الكتب التي سيقرأها؟,12 – 2 – 2 – 2 – 2 – 2 – 2
ما هو العدد المكتوب بالصيغة الأسية الذي يعادل 343؟,7^3
صنع كونر 9 أشكال بالماصات. احتاج كل شكل إلى 5 ماصات. استخدم كونر 15 ماصة إضافية لصنع المزيد من الأشكال. ما هو إجمالي عدد الماصات التي استخدمها كونر لصنع جميع الأشكال؟,60.0
أوجد حاصل ضرب -8 × (-4).,32.0
ما هي النسبة التي تشكِّل تناسبًا مع 3 على 8؟,24 على 64
كبَّرت ميراندا إحدى الصور تناسبيًا. كان المقاس الأصلي للصورة 4 سنتيمترات عرضًا و6 سنتيمترات طولاً. إذا كان عرض الصورة الجديدة المكبرة 10 سنتيمترات، ما هو طولها؟,15 سم
ما هو العدد الذي يعدّ من مضاعفات 7؟,56.0
باعت إحدى محطات الوقود 300.5849 جالون من الوقود في أحد الأيام. ما هو عدد جالونات الوقود التي باعتها محطة الوقود مقربًا إلى أقرب مائة؟,300.58
يعمل بيتر لمدة 38 ساعة أسبوعيًا ويتقاضى 7.25 دولارات في الساعة. منحه صاحب العمل زيادة في الأجر ليصل مجموع دخله خلال الأسبوع إلى 307.80 دولارًا. ما هي الزيادة التي حدثت في مجموع دخل بيتر الأسبوعي؟,32.30 دولارًا
ما هو العدد الذي يجعل المعادلة 35/ ؟ =7 صحيحة؟,5.0
تنفق ماريا 9 دولارات على وجبة الغداء في أيام العمل. لمعرفة المبلغ الذي تنفقه على وجبة الغداء في خمسة أيام عمل أسبوعيًا ضربت 5 × 9. ما هو المبلغ الذي تنفقه ماريا على الغداء في أيام العمل الأسبوعية التي تبلغ 5 أيام؟,45 دولارًا
حل المعادلة: -17.02 = -2.3 ص. تحقق من إجابتك.,7.4
ما هي الوحدة الأنسب للتعبير عن وزن القلم الرصاص؟,الأونصة
تمتلك ليزا مشروعًا صغيرًا. تعرضت في يوم الاثنين لخسارة 14 دولارًا، وفي يوم الثلاثاء ربحت 18 دولارًا، في يوم الأربعاء تعرضت لخسارة قدرها 6 دولارات، وفي يوم الخميس ربحت 7 دولارات. أوجد إجمالي الربح أو الخسارة.,ربح 5 دولارات
يصنع بعض الخبازين فطائر التفاح. كان لديهم 15 صندوقًا من التفاح. يحتوي كل صندوق على 18 تفاحة. هم يستخدمون 7 تفاحات لصنع فطيرة تفاح واحدة. ما هو إجمالي عدد فطائر التفاح التي يمكنهم صنعها؟,38.0
قضت كيري 3 ساعات في أداء واجباتها المنزلية. وقد قضت مددًا متساوية في جميع المواد الدراسية. إذا كانت كيري قد قضت 1 على 2 من الساعة في العلوم، فكم عدد المواد التي استذكرتها؟,6 مواد
باع فريق بيسبول 215 تذكرة للشباب بسعر 3 دولارات للتذكرة,(467 × 7) – (215 × 3)
يمتلك مالك 240 أسطوانة سي دي. قسمها إلى 12 مجموعة متساوية. ما هو التعبير الرياضي الذي يوضح طريقة إيجاد عدد الأسطوانات في كل مجموعة؟,240 ÷ 12
إذا قُسِّمَ 762 طالبًا في مسابقة على مستوى المدينة إلى 6 فرق متساوية العدد، كم عدد الطلاب في كل فريق؟,127.0
